House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Leeds Lane,Sian,Wright,64,Head,Single,Female,"Accountant, chartered certified",None,Catholic
1,Leeds Lane,Danielle,Dunn,37,None,Divorced,Female,Software engineer,None,None
1,Leeds Lane,Anthony,Thorpe,18,None,Single,Male,Student,None,NA
2,Leeds Lane,Charlie,Cross,33,Head,Married,Male,Mental health nurse,None,Christian
2,Leeds Lane,Olivia,Cross,35,Wife,Married,Female,Secretary/administrator,None,Christian
2,Leeds Lane,Rachael,Cross,8,Daughter,NA,Female,Student,None,NA
2,Leeds Lane,Kieran,Cross,5,Son,NA,Male,Student,None,NA
2,Leeds Lane,Kieran,Cross,5,Son,NA,Male,Student,None,NA
3,Leeds Lane,Joyce,Hutchinson,60,Head,Married,Female,"Engineer, communications",None,Christian
3,Leeds Lane,Victor,Hutchinson,61,Husband,Married,Male,Environmental education officer,None,Christian
4,Leeds Lane,Derek,Johnson,29,Head,Married,Male,IT technical support officer,None,Christian
4,Leeds Lane,Hollie,Johnson,28,Wife,Married,Female,Unemployed,None,Christian
4,Leeds Lane,Toby,Johnson,1,Son,NA,Male,Child,None,NA
4,Leeds Lane,Jordan,Wood,56,Lodger,Single,Male,"Engineer, civil (consulting)",None,Christian
5,Leeds Lane,Rosie,Taylor,76,Head,Widowed,Female,Retired Environmental education officer,None,Christian
6,Leeds Lane,Ann,Edwards,24,Head,Single,Female,Quarry manager,None,Muslim
6,Leeds Lane,Hollie,Edwards,1,Daughter,NA,Female,Child,None,NA
6,Leeds Lane,Joyce,Elliott,34,Cousin,Divorced,Female,Trade mark attorney,Physical Dis ability,None
6,Leeds Lane,Amelia,Lane,39,Lodger,Single,Female,Artist,None,None
6,Leeds Lane,Judith,Saunders,50,Lodger,Single,Female,Quality manager,None,Christian
7,Leeds Lane,Amanda,Bartlett,59,Head,Married,Female,Leisure centre manager,None,Christian
7,Leeds Lane,Stewart,Bartlett,61,Husband,Married,Male,Sports development officer,None,Christian
7,Leeds Lane,Ben,Bartlett,10,Grandson,NA,Male,Student,None,NA
7,Leeds Lane,Bryan,Bartlett,8,Grandson,NA,Male,Student,None,NA
7,Leeds Lane,Jonathan,Bartlett,5,Grandson,NA,Male,Student,None,NA
7,Leeds Lane,Harry,Bartlett,3,Grandson,NA,Male,Child,None,NA
8,Leeds Lane,Stanley,Holland,34,Head,Single,Male,Dentist,None,None
8,Leeds Lane,Jayne,Davis,27,Partner,Single,Female,Chiropodist,None,None
8,Leeds Lane,Stephen,Jones,57,Lodger,Single,Male,Unemployed,None,Jewish
8,Leeds Lane,Michelle,Reid,42,Visitor,Single,Female,"Administrator, local government",None,Christian
9,Leeds Lane,Andrew,Baker,23,Head,Single,Male,Advertising copywriter,None,Catholic
9,Leeds Lane,Howard,Alexander,58,None,Single,Male,Advertising art director,None,Christian
10,Leeds Lane,Cheryl,Francis,36,Head,Married,Female,Seismic interpreter,None,Jewish
10,Leeds Lane,Jonathan,Francis,38,Husband,Married,Male,Research scientist (medical),None,None
10,Leeds Lane,Vanessa,Francis,3,Daughter,NA,Female,Child,None,NA
10,Leeds Lane,Harriet,Francis,3,Daughter,NA,Female,Child,None,NA
11,Leeds Lane,Elliot,Dunn,40,Head,Divorced,Male,Unemployed,None,Catholic
12,Leeds Lane,Rachael,Fletcher,59,Head,Single,Female,"Scientist, research (physical sciences)",None,None
13,Leeds Lane,Oliver,Brown,55,Head,Married,Male,Sports development officer,None,None
13,Leeds Lane,Megan,Brown,52,Wife,Married,Female,Clinical biochemist,None,None
13,Leeds Lane,Antony,Brown,11,Son,NA,Male,Student,None,NA
14,Leeds Lane,Francesca,Johnson,19,Head,Single,Female,University Student,None,Methodist
14,Leeds Lane,Beth,Johnson,2,Daughter,NA,Female,Child,None,NA
15,Leeds Lane,Carly,Brown,58,Head,Divorced,Female,Unemployed,None,Catholic
15,Leeds Lane,Clive,Brown,15,Son,NA,Male,Student,None,NA
